date,realized_vol,lstm_forecast,garch_forecast
2024-02-27,1.2142620469521728,1.3289405,1.249942608203385
2024-02-28,1.1496458700200929,1.2730688,1.2097126848530677
2024-02-29,1.1434341287659333,1.2086941,1.1666081104536057
2024-03-01,0.8411180061578356,1.1807398,1.1350367454413868
2024-03-04,0.9291184950899878,0.9808233,1.1521366652742355
2024-03-05,0.8792152514980086,0.9481375,1.1598230042077984
2024-03-06,0.6753915797504597,0.9172678,1.1417247188289292
2024-03-07,0.7173092569438775,0.78394604,1.1060375238093534
2024-03-08,0.6588148562081879,0.75457495,1.100223014976247
2024-03-11,0.7030763168220483,0.716416,1.0689606223283052
2024-03-12,0.6754434497283911,0.7351669,1.0819407680125352
2024-03-13,0.7464312530479434,0.7339942,1.0476201680418236
2024-03-14,0.7623875140495605,0.78104967,1.1263791853985528
2024-03-15,0.7386016433467135,0.8151421,1.1326342914164156
2024-03-18,0.5025669895698813,0.8142251,1.0972439601222264
2024-03-19,0.5265179168694385,0.6605349,1.0659956854568755
2024-03-20,0.5781875060448474,0.59983397,1.089555261901342
2024-03-21,0.5732481011382963,0.61264515,1.0544422418957886
2024-03-22,0.6268749491439933,0.62499446,1.0374840175284863
2024-03-25,0.6191304420044009,0.6690996,1.0076054683843625
2024-03-26,0.7190776038057932,0.6868599,1.018763151928899
2024-03-27,0.631219802297801,0.75647455,1.016650077754079
2024-03-28,0.6369712930704577,0.7316626,1.0266553646291192
2024-04-01,0.6429985063464679,0.7171226,1.049288486628289
2024-04-02,0.7039232715608157,0.7122048,1.0415585693466336
2024-04-03,0.6772911514491868,0.7489058,1.0964042034559855
2024-04-04,0.6691038419014579,0.7503235,1.0805832557965602
2024-04-05,0.6905828832724002,0.7436518,1.045412775376879
2024-04-08,0.7535578458600709,0.7528146,1.0648227436181008
2024-04-09,0.754846764967374,0.79694724,1.049078502586497
2024-04-10,0.6275699315373393,0.81829023,1.016149686374834
2024-04-11,0.6407142578008873,0.7442132,0.9902489500263708
2024-04-12,0.8785960974322179,0.7137402,0.9620679976957828
2024-04-15,0.9195927848985155,0.8535102,1.0640459669701272
2024-04-16,0.8160292707585584,0.9510779,1.0700755334353311
2024-04-17,0.7529302943396264,0.9242794,1.0701832038895376
2024-04-18,0.7478955026886293,0.8605703,1.039383895270533
2024-04-19,0.7757892607267978,0.8228861,1.0116407510085883
2024-04-22,0.8233304745247784,0.824765,1.0487610374975107
2024-04-23,0.8550948747250029,0.85973,1.0354745176903395
2024-04-24,0.8445727013601587,0.8988051,1.0179436810477729
2024-04-25,0.8672565247819182,0.90979034,0.9876090390180824
2024-04-26,0.7485927827534389,0.92630935,0.969666355981458
2024-04-29,0.7060447366081484,0.8556324,0.985158466426736
2024-04-30,1.1979561535980627,0.7920003,0.9796410479037988
2024-05-01,1.2906475822095451,1.0795966,1.3329399435100813
2024-05-02,1.314319268393047,1.2845621,1.3723665931207134
2024-05-03,1.2314271356970856,1.3816638,1.328368310485538
2024-05-06,1.2431369860192623,1.3505712,1.2754618219101028
2024-05-07,1.2135793902468996,1.3240665,1.2499052722650996
2024-05-08,1.2084243666717744,1.2839912,1.2027500660345525
2024-05-09,1.299959338006034,1.25934,1.1591070307781253
2024-05-10,1.283327319810769,1.3087369,1.1913769999324726
2024-05-13,1.2457253774033687,1.3244281,1.160570351431136
2024-05-14,0.7970567551654866,1.3060504,1.122389228486918
2024-05-15,0.5560917040910754,1.0059696,1.0846758836151784
2024-05-16,0.5579842777511115,0.71124274,1.051299080707937
2024-05-17,0.6846697497547725,0.5917826,1.0217465562572767
2024-05-20,0.7116421569971277,0.64484364,1.0796401568873926
2024-05-21,0.7347781693479057,0.7123849,1.063754621018029
2024-05-22,0.9731403524386105,0.7694612,1.040664571538565
2024-05-23,0.8551812655343287,0.94941205,1.1720702446974556
2024-05-24,0.8637438211145854,0.95631194,1.1648987181849986
2024-05-28,0.9551034157911288,0.9502703,1.1242408096513163
2024-05-29,1.079143318784643,0.99710214,1.1306948609880705
2024-05-30,1.0828632210902194,1.0955653,1.2223131023840064
2024-05-31,1.3949101665128885,1.140336,1.1800309155404272
2024-06-03,1.5127978071028851,1.3548307,1.3666589954441406
2024-06-04,1.5205036892861779,1.5258032,1.545822011277429
2024-06-05,1.527793468350945,1.5924726,1.5081730289326802
2024-06-06,1.4555495497877993,1.6062156,1.4433672332644003
2024-06-07,1.4359127005766577,1.5481117,1.392121876862958
2024-06-10,1.4618933233261082,1.498266,1.3406033889027134
2024-06-11,1.4098345912193124,1.4908546,1.30767074691318
2024-06-12,1.3377837555130823,1.4565086,1.2576640504106726
2024-06-13,1.3505380774576736,1.3957633,1.254501154040316
2024-06-14,0.9617940701008671,1.3792497,1.2396319766406136
2024-06-17,0.6519866668125923,1.1259655,1.2148916264526703
2024-06-18,0.6368983848940006,0.8133895,1.172586401613748
2024-06-20,0.8912148082628675,0.674491,1.1378649077674483
2024-06-21,0.8934606806308522,0.8001987,1.2339189319440824
2024-06-24,1.1914666612615188,0.8889827,1.2008209997757684
2024-06-25,1.1769842686315124,1.1288848,1.388795346606163
2024-06-26,1.2297977881539424,1.2313211,1.3337103072341026
2024-06-27,1.1592132416398329,1.2957132,1.3162880901402545
2024-06-28,1.0875865370867352,1.2629542,1.2662162128642922
2024-07-01,1.0253146177239623,1.1870575,1.2233367299559263
2024-07-02,1.0370920350446966,1.1063192,1.1777909590981808
2024-07-03,1.0371517263526426,1.0789744,1.135597244425211
2024-07-05,1.075460467916781,1.0736581,1.104501653696646
2024-07-08,1.077796753922562,1.1015941,1.1728172115480282
2024-07-09,0.6902775010307111,1.1200274,1.146415108561655
2024-07-10,0.739236742062558,0.8803431,1.139534759152938
2024-07-11,0.7857632244844682,0.7959165,1.1193315961441197
2024-07-12,0.7866514447386029,0.8000918,1.1273571923568724
2024-07-15,0.9202643099353085,0.8167699,1.091387463504336
2024-07-16,0.9272902409543825,0.91744214,1.152592451109325
2024-07-17,0.9629927432217085,0.9732072,1.1204190311465267
2024-07-18,0.9601518412517626,1.0173389,1.1245925041454885
2024-07-19,0.8698068793140296,1.0296286,1.0874513519543982
2024-07-22,0.8717582650630413,0.97062373,1.104868834026287
2024-07-23,0.9960076201542288,0.93904775,1.0852763337866889
2024-07-24,0.9810990483720371,1.0056305,1.1603915855255558
2024-07-25,1.071284621963701,1.0313015,1.1192037838879316
2024-07-26,1.0719446590211297,1.0988983,1.2032403160722025
2024-07-29,1.0072744664458146,1.1283798,1.1630614957832404
2024-07-30,1.1208611890380857,1.0942355,1.1526972949997358
2024-07-31,1.0816964994880276,1.1455326,1.2095763001187068
2024-08-01,1.3695764253704157,1.143939,1.1720438459468256
2024-08-02,1.5420122537591863,1.3258052,1.401430332405612
2024-08-05,1.6437191727982075,1.5232568,1.5670086931811782
2024-08-06,1.6426043069451328,1.6701826,1.6489959919230954
2024-08-07,1.6574548489682932,1.7171819,1.5864521038418344
2024-08-08,1.7190223703668754,1.7270533,1.521671605565065
2024-08-09,1.7156556544920871,1.7569772,1.5975087772476115
2024-08-12,1.7203542441818884,1.7599325,1.5285318639614232
2024-08-13,1.6232340126310116,1.7580465,1.470234152027308
2024-08-14,1.6334402211463248,1.6895435,1.439561714807656
2024-08-15,1.4854425481989946,1.6628971,1.3909044114161098
2024-08-16,1.1791233426843442,1.5569644,1.3833080749073197
2024-08-19,0.8029772432346812,1.311998,1.3271399403468302
2024-08-20,1.2870140881022012,0.9651349,1.2910801908368996
2024-08-21,1.2849369419270227,1.132726,1.4895111458610557
2024-08-22,1.089197770959472,1.2470417,1.4268657066314188
2024-08-23,1.1882917264897503,1.1829345,1.369696307085814
2024-08-26,1.2092082593424698,1.212541,1.3913688124561348
2024-08-27,1.205483365481486,1.2418185,1.3623398478571966
2024-08-28,1.219213756640701,1.2521704,1.3387047709793745
2024-08-29,1.2308632083854882,1.2631253,1.3003759476048615
2024-08-30,1.2337586529676516,1.2737144,1.3117384424511211
2024-09-03,1.458332034816166,1.279155,1.2652111674794575
2024-09-04,1.2636071149517474,1.4269422,1.4437024982577846
2024-09-05,1.2764448457138444,1.3683449,1.4482405068926587
2024-09-06,1.306197385938412,1.3381627,1.4079473177205102
2024-09-09,1.2056821643074536,1.3414679,1.4045515724869648
2024-09-10,1.1725857863784461,1.278906,1.3646570966056195
2024-09-11,1.1724881738269397,1.2284318,1.4145601722900754
2024-09-12,1.275526967920794,1.2090503,1.386067174332614
2024-09-13,1.1760359366794644,1.272526,1.357798800577192
2024-09-16,1.2681536436835372,1.2428154,1.3144122366529476
2024-09-17,1.1801369334473026,1.2865579,1.31043776489081
2024-09-18,1.0974738194300897,1.2507439,1.3251842923435746
2024-09-19,1.1155804523024806,1.1780204,1.273891031604501
2024-09-20,1.006719504232757,1.1562598,1.2783539846958702
2024-09-23,1.041645457148306,1.0813364,1.2308222982024637
2024-09-24,0.7822434069162961,1.0728492,1.243706808259453
2024-09-25,1.0279822023404925,0.9104592,1.199043383250301
2024-09-26,1.2544877945504975,0.9947612,1.3062993287570817
2024-09-27,1.3882331255930647,1.1944685,1.395968505923716
2024-09-30,1.3642748559460944,1.3786668,1.4760469291428822
2024-10-01,1.4732006667000335,1.4374546,1.4296107854628026
2024-10-02,1.4887396076646107,1.5164026,1.5362162904735772
2024-10-03,1.5317799413829232,1.5486906,1.5028907421156648
2024-10-04,1.51838906959893,1.5784692,1.5362989783870735
2024-10-07,1.5012974401163866,1.574332,1.4972774412337293
2024-10-08,1.79335851546502,1.5542444,1.437321316743969
2024-10-09,1.6156101081482348,1.734177,1.6007552675325754
2024-10-10,1.3607396418501014,1.7008923,1.5412530122765695
2024-10-11,1.2877689283940703,1.5056607,1.4889305244392268
2024-10-14,1.3043074116510813,1.362177,1.437994719497453
2024-10-15,1.633079221390094,1.3163925,1.3778289463395457
2024-10-16,1.604166042538289,1.525026,1.664024374036256
2024-10-17,1.4916157688532792,1.6167929,1.596106890294168
2024-10-18,1.4396604424910593,1.5782087,1.532698640654946
2024-10-21,1.4209323801612017,1.5151408,1.469870947122881
2024-10-22,1.1815192272532484,1.4698105,1.4105796915795463
2024-10-23,1.1619697498160542,1.294873,1.3540689195741953
2024-10-24,1.124290633964421,1.2046363,1.3093702951161648
2024-10-25,1.0856363291058246,1.1525569,1.2577559781063683
2024-10-28,1.0842565839867657,1.1174748,1.2097304585756348
2024-10-29,0.6028569009550689,1.1113077,1.1814925917145824
2024-10-30,0.575296879008135,0.80889934,1.2335699079016351
2024-10-31,0.5972120581050497,0.6522304,1.189258502596579
2024-11-01,0.6105154256616896,0.613384,1.1620072129685977
