Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2021-06-30,56.78,55.8,57.03,55.62,5.06K,1.32%,0.013204853675945705,0.012819007025716618,0,0
2021-07-01,58.06,57.09,59.0,57.02,3.68K,2.25%,0.022543148996125417,0.021832779412980535,0,0
2021-07-02,57.76,58.41,58.77,57.56,1.40K,-0.52%,-0.005167068549776221,-0.006908513979740724,0,0
2021-07-05,58.28,58.02,58.69,57.97,0.75K,0.90%,0.009002770083102574,0.006542659910070629,0,0
2021-07-06,54.44,58.56,58.58,52.68,3.61K,-6.59%,-0.06588881262868918,-0.06696290754274506,1,0
2021-07-07,53.03,53.93,55.37,52.9,2.74K,-2.59%,-0.0259000734753857,-0.029708395426405604,1,0
2021-07-08,52.77,53.11,53.6,51.32,3.48K,-0.49%,-0.004902885159343784,-0.0022255814955825775,0,0
2021-07-09,54.67,53.55,54.86,53.3,3.59K,3.60%,0.036005306045101326,0.03474328349689933,1,0
2021-07-12,52.12,54.22,54.22,51.95,2.07K,-4.66%,-0.04664349734772277,-0.04508781194731335,1,0
2021-07-13,53.26,52.15,53.7,51.7,2.09K,2.19%,0.02187260168841143,0.012326519200033602,0,0
2021-07-14,53.78,52.81,55.88,52.05,2.44K,0.98%,0.009763424708974844,0.009553672924650551,0,1
2021-07-15,53.37,52.8,53.9,52.3,2.60K,-0.76%,-0.0076236519152101945,-0.011277979368454443,0,0
2021-07-16,53.28,53.59,53.98,52.74,3.01K,-0.17%,-0.001686340640809414,-0.0005470818743355684,0,0
2021-07-19,52.81,53.0,54.35,52.4,3.87K,-0.88%,-0.008821321321321296,-0.013963766951797652,0,0
2021-07-20,51.59,52.72,52.81,50.87,2.65K,-2.31%,-0.023101685286877505,-0.023567774991319037,0,0
2021-07-21,52.51,51.82,52.65,51.3,5.73K,1.78%,0.01783291335530124,0.016694237732083797,0,0
2021-07-22,51.16,52.04,52.58,50.46,4.19K,-2.57%,-0.025709388687868984,-0.02614254175191943,0,0
2021-07-23,51.26,50.4,51.31,50.37,5.45K,0.20%,0.001954652071931129,-0.0015598356651584755,0,0
2021-07-26,53.57,51.1,53.71,50.96,1.44K,4.51%,0.04506437768240357,0.04462052683923919,1,0
2021-07-27,53.28,54.0,54.06,53.2,2.39K,-0.54%,-0.0054134776927384776,-0.00778806523829857,0,0
2021-07-28,54.2,53.54,54.53,53.54,1.21K,1.73%,0.01726726726726735,0.014853060166866414,0,0
