Date,Close,High,Low,Open,Volume
10/07/19,10.17607689,10.22297054,10.14793963,10.20421326,190600
11/07/19,10.15731812,10.21359174,10.12918175,10.17607629,178300
12/07/19,10.11042404,10.1385613,10.08228768,10.11980313,215800
15/07/19,10.08228588,10.14793769,10.06352771,10.11042224,180000
16/07/19,10.07290936,10.12918299,10.06353027,10.08228844,497300
17/07/19,10.11042404,10.1385613,10.07290859,10.10104585,163100
18/07/19,10.17607689,10.17607689,10.08228781,10.10104598,239100
19/07/19,10.13856316,10.1948359,10.12918407,10.1948359,165100
22/07/19,10.16669846,10.17607754,10.11042482,10.15731937,224100
23/07/19,10.09166622,10.16669712,10.0353926,10.16669712,165800
24/07/19,10.11042404,10.11980313,10.05415131,10.10104585,123600
25/07/19,10.05414963,10.10104416,10.03539146,10.09166507,112900
26/07/19,10.07290936,10.08228844,10.01663662,10.08228844,129900
29/07/19,10.08228588,10.08228588,10.02601226,10.03539135,127400
30/07/19,9.969740868,9.988498146,9.866573599,9.932225416,141800
31/07/19,10.06352901,10.147939,9.97911992,10.02601356,301000
01/08/19,10.08228588,10.30737856,10.08228588,10.08228588,509100
02/08/19,10.10104656,10.11980384,10.01663656,10.11980384,173800
05/08/19,9.7352705,9.932226873,9.632103217,9.932226873,794300
06/08/19,9.866574287,9.894710654,9.763406118,9.810300659,237100
07/08/19,10.11980247,10.11980247,9.866573406,9.922846135,374200
08/08/19,10.30737877,10.31675785,10.12918062,10.12918062,1185700
09/08/19,10.26048756,10.31676119,10.2135939,10.26048756,321600
12/08/19,10.17607689,10.22297054,10.13856144,10.17607689,180700
13/08/19,10.27924442,10.31675988,10.10104624,10.14793988,225000
14/08/19,10.01663685,10.1479405,9.988499585,10.1479405,459000
15/08/19,9.960361481,10.03539238,9.875951494,10.03539238,193300
16/08/19,10.11042404,10.11980313,9.979120403,9.979120403,142200
19/08/19,10.2323513,10.25110948,10.17607856,10.22297221,172900
20/08/19,10.2323513,10.24173039,10.14794129,10.2323513,73400
21/08/19,10.38241291,10.40117109,10.31676108,10.31676108,443000
22/08/19,10.26986408,10.39178952,10.21359135,10.38241043,357200
23/08/19,10.02601337,10.27924334,10.02601337,10.12918153,210300
26/08/19,10.22297192,10.22297192,10.04477371,10.04477371,1483100
27/08/19,10.14793873,10.29800053,10.13856054,10.25110689,157900
28/08/19,10.15731812,10.22296993,10.10104539,10.15731812,95800
29/08/19,10.22297192,10.24173009,10.1385628,10.232351,230400
30/08/19,10.19483471,10.29800199,10.15731925,10.25110834,247500
03/09/19,10.26048756,10.36365574,10.24173027,10.28862482,428200
04/09/19,10.41055107,10.42930836,10.31676197,10.31676197,395300
05/09/19,10.41055107,10.54185474,10.40117198,10.52309746,293500
06/09/19,10.31676006,10.42930643,10.31676006,10.42930643,356600
09/09/19,10.28862381,10.41054926,10.26048655,10.382412,394400
10/09/19,10.22297192,10.26048738,10.1385628,10.19483555,145500
11/09/19,10.36365509,10.36365509,10.21359326,10.23235054,319700
12/09/19,10.31676006,10.4574428,10.31676006,10.4480646,338800
13/09/19,10.33551788,10.34489608,10.31675971,10.3261388,104000
16/09/19,10.39178944,10.39178944,10.33551671,10.33551671,205400
17/09/19,10.50433731,10.50433731,10.32613912,10.32613912,147200
18/09/19,10.50433731,10.52309549,10.41054912,10.50433731,217400
19/09/19,10.68253517,10.69191336,10.55123065,10.55123065,402700
20/09/19,10.67315578,10.69191306,10.56060943,10.69191306,1079100
23/09/19,10.63564014,10.65439742,10.53247199,10.61688197,273900
24/09/19,10.53247547,10.67315912,10.47620273,10.66378003,793200
25/09/19,10.4762001,10.50433647,10.38241103,10.44806374,328900
26/09/19,10.38241291,10.53247475,10.36365563,10.52309655,362200
27/09/19,10.15731812,10.35427446,10.12918175,10.34489537,394500
30/09/19,10.22297192,10.25110918,10.1385628,10.20421463,339700
01/10/19,10.18545341,10.23234795,10.11980161,10.23234795,385100
02/10/19,10.01663685,10.11042504,9.979121391,10.08228867,453200
03/10/19,10.12918282,10.12918282,9.988499187,10.08228827,991600
04/10/19,10.36365509,10.36365509,10.16669872,10.185456,360000
07/10/19,10.30737877,10.41054692,10.26048424,10.41054692,534400
08/10/19,10.22297192,10.30738192,10.18545646,10.25110918,293200
09/10/19,10.29800129,10.33551764,10.22297038,10.31675946,201600
10/10/19,10.30737877,10.38240966,10.22296879,10.25110605,212600
11/10/19,10.3542738,10.45744106,10.3542738,10.41054742,220800
14/10/19,10.31676006,10.37303369,10.26986552,10.35427552,173200
15/10/19,10.2042141,10.26986592,10.17607773,10.25110864,878300
16/10/19,10.15731812,10.20421265,10.10104539,10.17607629,345400
17/10/19,10.22297192,10.26048738,10.18545646,10.18545646,216200
18/10/19,10.26986408,10.29800045,10.19483318,10.27924317,308400
21/10/19,10.39178944,10.39178944,10.29800036,10.32613762,250700
22/10/19,10.24172878,10.38241151,10.24172878,10.38241151,255600
23/10/19,10.21359253,10.27924435,10.12918253,10.21359253,183200
24/10/19,10.22297192,10.27924555,10.18545646,10.26986646,179000
25/10/19,10.15731812,10.19483357,10.06352904,10.19483357,382000
28/10/19,10.2042141,10.2886241,10.17607773,10.22297138,389100
29/10/19,10.17607689,10.24172871,10.11980326,10.17607689,289200
30/10/19,9.997877121,10.10104528,9.913467132,10.10104528,498900
31/10/19,9.997877121,10.07290802,9.96036167,10.00725621,503000
01/11/19,10.03539371,10.07290917,10.02601463,10.03539371,259100
04/11/19,9.979119301,10.1291811,9.950982043,10.08228656,927300
05/11/19,9.969740868,9.969740868,9.885330878,9.950982695,248700
06/11/19,9.913468361,10.00725745,9.89471108,9.960362904,548500
07/11/19,9.894712448,10.00725883,9.885333359,9.979122459,524100
08/11/19,9.932226181,9.941605268,9.894710727,9.941605268,203300
11/11/19,10.03539371,10.03539371,9.941605524,9.969741892,153300
12/11/19,9.950982094,10.04477116,9.950982094,10.03539208,957300
13/11/19,9.941604614,10.02601371,9.913467354,9.950982806,242000
14/11/19,10.02601337,10.02601337,9.950982473,9.979119732,188200
15/11/19,10.08228588,10.08228588,10.03539135,10.03539135,229000
18/11/19,10.00725651,10.08228741,9.988498335,10.06352924,300300
19/11/19,10.02601337,10.05415063,9.969740645,10.05415063,110600
20/11/19,9.932226181,10.03539346,9.904089814,9.997878003,200000
21/11/19,9.950982094,9.988497543,9.904088453,9.979119352,283800
22/11/19,9.941604614,9.997877345,9.913467354,9.941604614,152400
25/11/19,10.12918282,10.12918282,9.988499187,10.04477282,361700
26/11/19,10.16669846,10.17607754,10.129183,10.15731937,373000
27/11/19,10.29800129,10.29800129,10.16669765,10.2042131,204900
29/11/19,10.32613754,10.34489482,10.26986392,10.30737937,114100
02/12/19,10.32613754,10.41054753,10.26986392,10.41054753,334500
03/12/19,10.40117168,10.40117168,10.22297257,10.2980035,320500
04/12/19,10.46682262,10.49495899,10.43868625,10.46682262,666700
05/12/19,10.42930698,10.51371699,10.4105497,10.51371699,276000
06/12/19,10.52309513,10.52309513,10.44806422,10.4668215,266000
09/12/19,10.4762001,10.52309464,10.45744193,10.52309464,301700
